iter	Passed	Remaining
654	2574	5285
655	2577	5280
656	2581	5276
657	2584	5271
658	2588	5268
659	2592	5262
660	2596	5258
661	2600	5255
662	2603	5250
663	2607	5246
664	2610	5240
665	2615	5238
666	2619	5234
667	2622	5229
668	2625	5223
669	2630	5222
670	2634	5216
671	2637	5212
672	2642	5211
673	2646	5207
674	2650	5202
675	2654	5199
676	2658	5195
677	2661	5189
678	2664	5184
679	2667	5179
680	2672	5175
681	2675	5171
682	2679	5166
683	2682	5160
684	2686	5157
685	2691	5154
686	2694	5150
687	2699	5147
688	2702	5141
689	2705	5136
690	2709	5132
691	2714	5130
692	2717	5124
693	2721	5121
694	2725	5117
695	2729	5113
696	2732	5108
697	2736	5103
698	2740	5100
699	2744	5096
700	2748	5092
701	2751	5087
702	2756	5084
703	2760	5081
704	2763	5077
705	2770	5077
706	2774	5073
707	2777	5069
708	2783	5067
709	2787	5064
710	2790	5059
711	2795	5057
712	2799	5053
713	2803	5049
714	2807	5045
715	2812	5042
716	2816	5039
717	2820	5035
718	2823	5031
719	2827	5026
720	2831	5022
721	2834	5018
722	2840	5016
723	2843	5011
724	2847	5008
725	2852	5005
726	2856	5002
727	2860	4998
728	2864	4994
729	2868	4989
730	2871	4985
731	2876	4981
732	2880	4979
733	2885	4976
734	2888	4972
735	2893	4969
736	2896	4963
737	2900	4960
738	2906	4959
739	2909	4954
740	2913	4949
741	2919	4949
742	2922	4944
743	2926	4939
744	2930	4936
745	2934	4933
746	2938	4928
747	2942	4924
748	2946	4921
749	2951	4919
750	2955	4914
751	2961	4914
752	2964	4909
753	2969	4906
754	2974	4904
755	2978	4900
756	2981	4895
757	2986	4893
758	2991	4890
759	2995	4887
760	3001	4886
761	3005	4882
762	3010	4880
763	3016	4880
764	3021	4878
765	3027	4876
766	3031	4873
767	3037	4872
768	3042	4871
769	3048	4869
770	3053	4867
771	3057	4863
772	3062	4861
773	3067	4858
774	3071	4854
775	3076	4852
776	3081	4850
777	3086	4847
778	3092	4846
779	3096	4843
780	3100	4839
781	3104	4835
782	3108	4831
783	3112	4827
784	3117	4825
785	3122	4822
786	3126	4818
787	3131	4816
788	3135	4812
789	3140	4810
790	3145	4808
791	3151	4806
792	3156	4804
793	3160	4800
794	3164	4796
795	3167	4791
796	3171	4787
797	3175	4782
798	3179	4779
799	3183	4775
800	3187	4771
801	3191	4767
802	3196	4764
803	3199	4759
804	3203	4755
